OfferedLoad,Node,QueueType,AvgDelay,BlockingRatio,AvgBacklog,N_audio,N_video,N_data
0.1,1,Premium,0.000130719,0,0.00198795,4,5,5
0.1,1,Assured,0.00084084,0,0.00142755,4,5,5
0.1,1,BestEffort,0.00050954,0,0.00199243,4,5,5
0.1,2,Premium,0.000130331,0,0.00197169,4,5,5
0.1,2,Assured,0.00083904,0,0.00131537,4,5,5
0.1,2,BestEffort,0.000507741,0,0.00171378,4,5,5
0.1,3,Premium,0.000132606,0,0.00203068,4,5,5
0.1,3,Assured,0.000838858,0,0.00136075,4,5,5
0.1,3,BestEffort,0.000510179,0,0.00186331,4,5,5
0.1,4,Premium,0.000131705,0,0.00205735,4,5,5
0.1,4,Assured,0.000839116,0,0.00136604,4,5,5
0.1,4,BestEffort,0.00050775,0,0.00187882,4,5,5
0.1,5,Premium,0.000132516,0,0.00210511,4,5,5
0.1,5,Assured,0.000836417,0,0.0012629,4,5,5
0.1,5,BestEffort,0.000509807,0,0.00187507,4,5,5
0.1,6,Premium,0.000129725,0,0.00195996,4,5,5
0.1,6,Assured,0.000839739,0,0.00144218,4,5,5
0.1,6,BestEffort,0.000509185,0,0.00180791,4,5,5
0.1,7,Premium,0.000132975,0,0.00212238,4,5,5
0.1,7,Assured,0.000837284,0,0.00129659,4,5,5
0.1,7,BestEffort,0.000508479,0,0.00187247,4,5,5
0.1,8,Premium,0.000131596,0,0.00205624,4,5,5
0.1,8,Assured,0.000834219,0,0.00117696,4,5,5
0.1,8,BestEffort,0.00050808,0,0.00186252,4,5,5
0.1,9,Premium,0.00013293,0,0.00206888,4,5,5
0.1,9,Assured,0.000840147,0,0.00134018,4,5,5
0.1,9,BestEffort,0.000507696,0,0.00180578,4,5,5
0.1,10,Premium,0.000131087,0,0.00195873,4,5,5
0.1,10,Assured,0.000836787,0,0.00128607,4,5,5
0.1,10,BestEffort,0.00050576,0,0.00175083,4,5,5
0.1,Reference,EndToEndDelay,0.00131994
0.1,Reference,BlockingRatio,0
0.2,1,Premium,0.000167346,0,0.00488096,8,10,10
0.2,1,Assured,0.000884477,0,0.00390494,8,10,10
0.2,1,BestEffort,0.000572817,0,0.00594113,8,10,10
0.2,2,Premium,0.000168392,0,0.00501719,8,10,10
0.2,2,Assured,0.000880995,0,0.00363933,8,10,10
0.2,2,BestEffort,0.000573241,0,0.00588283,8,10,10
0.2,3,Premium,0.000167644,0,0.00490931,8,10,10
0.2,3,Assured,0.000882513,0,0.00370307,8,10,10
0.2,3,BestEffort,0.000570067,0,0.00561546,8,10,10
0.2,4,Premium,0.000166991,0,0.00470046,8,10,10
0.2,4,Assured,0.000884587,0,0.0038938,8,10,10
0.2,4,BestEffort,0.000573525,0,0.00580992,8,10,10
0.2,5,Premium,0.000165595,0,0.00475895,8,10,10
0.2,5,Assured,0.000880064,0,0.00372834,8,10,10
0.2,5,BestEffort,0.00056959,0,0.0056587,8,10,10
0.2,6,Premium,0.000167202,0,0.00482212,8,10,10
0.2,6,Assured,0.000882093,0,0.00359733,8,10,10
0.2,6,BestEffort,0.000572227,0,0.00581638,8,10,10
0.2,7,Premium,0.000168143,0,0.00480739,8,10,10
0.2,7,Assured,0.000883402,0,0.00380556,8,10,10
0.2,7,BestEffort,0.000573183,0,0.00590542,8,10,10
0.2,8,Premium,0.000168385,0,0.0048207,8,10,10
0.2,8,Assured,0.000883008,0,0.00374022,8,10,10
0.2,8,BestEffort,0.000576164,0,0.00600991,8,10,10
0.2,9,Premium,0.000168129,0,0.00481249,8,10,10
0.2,9,Assured,0.000885486,0,0.00385942,8,10,10
0.2,9,BestEffort,0.000572895,0,0.00588974,8,10,10
0.2,10,Premium,0.000166832,0,0.00463079,8,10,10
0.2,10,Assured,0.000882112,0,0.00360965,8,10,10
0.2,10,BestEffort,0.000569339,0,0.00562143,8,10,10
0.2,Reference,EndToEndDelay,0.00165914
0.2,Reference,BlockingRatio,0
0.3,1,Premium,0.000196349,0,0.0073418,11,14,14
0.3,1,Assured,0.000923447,0,0.00632473,11,14,14
0.3,1,BestEffort,0.000645711,0,0.0107185,11,14,14
0.3,2,Premium,0.00019966,0,0.00759602,11,14,14
0.3,2,Assured,0.000925235,0,0.00639689,11,14,14
0.3,2,BestEffort,0.000650398,0,0.0111026,11,14,14
0.3,3,Premium,0.000196295,0,0.00712256,11,14,14
0.3,3,Assured,0.000925926,0,0.00619876,11,14,14
0.3,3,BestEffort,0.000650592,0,0.0109861,11,14,14
